sale_date,sale_price,latitude,longitude,city,zoning,land_val,imp_val,year_built,sqft_lot,sqft,grade,fbsmt_grade,home_condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_otherwater,year,zipcode
2018-01-02,665000,47.55935783,-122.3173702,SEATTLE,SF 5000,41000,122000,1920,2525,1570,6,4,4,1.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98108
2018-01-09,499000,47.5249933,-122.3164747,SEATTLE,SF 5000,29000,55000,1907,6000,1350,5,0,3,1.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98108
2018-02-14,675000,47.62420295,-122.3007622,SEATTLE,SF 5000,97000,132000,1908,5286,1800,7,5,4,1.0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2018,98112
2018-02-13,1150000,47.72127639,-122.3358573,SEATTLE,SF 7200,440000,221000,1920,47916,1590,7,0,3,1.5,3,1,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,4,2018,98133
2018-02-14,705000,47.6662101,-122.3246181,SEATTLE,SF 5000,81000,72000,1918,3825,780,6,0,3,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98105
2018-02-15,650000,47.67257626,-122.2844724,SEATTLE,SF 5000,93000,100000,1948,6750,830,7,0,4,1.0,2,1,0,0,230,0,0,0,0,2,0,0,0,0,0,0,0,0,2018,98115
2018-02-22,523000,47.53858289,-122.3569365,SEATTLE,SF 5000,33000,105000,1930,10082,1250,7,6,4,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98106
2018-02-27,450666,47.70543007,-122.3402695,SEATTLE,SF 5000,67000,60000,1942,5693,690,6,0,3,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98133
2018-03-02,650000,47.72702657,-122.29952,SEATTLE,SF 7200,79000,60000,1947,6840,1780,6,0,3,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98125
2018-02-20,1760000,47.6248332,-122.2962693,SEATTLE,SF 5000,49000,97000,1942,5500,1360,7,0,3,1.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98112
2018-03-12,450000,47.7001549,-122.3039006,SEATTLE,SF 5000,34200,55000,1920,5800,1190,6,5,3,1.0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018,98115
2018-03-14,555000,47.52630315,-122.3756493,SEATTLE,SF 7200,46000,103000,1950,7316,1500,6,0,3,1.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98126
2018-03-15,698000,47.62067637,-122.2943961,SEATTLE,SF 5000,48000,58000,1920,6600,1050,7,0,3,1.5,3,1,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98112
2018-03-22,830000,47.53025985,-122.373548,SEATTLE,SF 7200,46000,86000,1925,7680,940,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98126
2018-03-14,1265500,47.66775401,-122.2992347,SEATTLE,SF 5000,45700,83700,1925,3700,1250,7,0,3,1.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98105
2018-03-28,1168000,47.69408535,-122.3576385,SEATTLE,SF 5000,70000,118000,1980,5334,2400,6,0,3,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98103
2018-03-16,2345000,47.63446676,-122.3640728,SEATTLE,SF 5000,85000,39100,1904,4800,1420,6,0,3,1.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98119
2018-04-16,325000,47.52584881,-122.3184207,SEATTLE,SF 5000,29000,59000,1900,6000,1700,6,0,4,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98108
2018-04-16,1370000,47.68277375,-122.3507403,SEATTLE,SF 5000,78000,121000,1908,4000,1320,6,0,3,1.5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98103
2018-04-16,835000,47.63401116,-122.3640788,SEATTLE,SF 5000,109000,107000,1906,3600,980,6,0,3,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98119
2018-04-17,1485000,47.69015736,-122.3718039,SEATTLE,SF 5000,113000,107000,1920,9330,1080,7,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98117
2018-04-30,700000,47.72860536,-122.3514399,SEATTLE,SF 7200,68000,95000,1947,8550,1920,7,5,3,1.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98133
2018-04-25,570000,47.71253974,-122.3507357,SEATTLE,SF 7200,60000,87000,1929,5988,1080,7,0,4,1.0,3,1,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98133
2018-04-16,2750000,47.6680197,-122.3306603,SEATTLE,SF 5000,92000,115000,1908,5625,960,7,0,4,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98103
2018-05-10,1150000,47.70928957,-122.3577762,SEATTLE,SF 7200,82000,149000,1947,13860,2090,7,7,3,1.0,2,1,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98177
2018-05-21,935000,47.54271945,-122.3760785,SEATTLE,SF 5000,38000,143000,1928,4788,2100,7,0,4,1.5,3,2,0,0,290,0,0,0,0,2,0,2,0,2,0,0,0,0,2018,98126
2018-05-04,730000,47.67309633,-122.2784003,SEATTLE,SF 5000,113000,113000,1942,6844,1370,7,7,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98115
2018-06-07,299950,47.53299573,-122.3554325,SEATTLE,SF 5000,29000,25000,1918,5040,660,4,0,4,1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018,98106
2018-05-24,680000,47.55461771,-122.2890331,SEATTLE,SF 5000,37000,98000,1919,5200,2200,5,4,4,1.0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018,98118
2018-06-06,800000,47.56623755,-122.3810137,SEATTLE,SF 5000,105000,95000,1922,4830,1400,6,0,3,1.5,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2018,98116
2018-06-19,675000,47.59698836,-122.2954597,SEATTLE,SF 5000,29000,75000,1901,3600,890,5,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98144
2018-06-20,1108000,47.56507277,-122.3912155,SEATTLE,SF 5000,45000,70800,1909,5650,1270,6,0,3,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98116
2018-06-27,590000,47.71253565,-122.3297161,SEATTLE,SF 7200,72000,100000,1954,8100,1320,7,0,3,1.0,3,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98133
2018-06-21,1000000,47.54207055,-122.3911452,SEATTLE,SF 5000,92000,109000,1920,7628,1740,7,7,4,1.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98136
2018-07-09,1010000,47.67843335,-122.3485607,SEATTLE,SF 5000,96000,123000,1916,5208,1420,6,0,4,1.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98103
2018-07-13,440000,47.7129688,-122.31018,SEATTLE,SF 7200,76000,51000,1941,7980,820,6,0,2,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98125
2018-07-25,1675000,47.64614242,-122.3023849,SEATTLE,SF 5000,181000,337000,1926,5450,1850,10,0,4,2.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98112
